	variable	value	class
428	XG1	0.0	Severe covid
429	XG1	0.0	Severe covid
430	XG1	0.594	Severe covid
431	XG1	0.0	Severe covid
432	XG1	0.771	Severe covid
433	XG1	1.106	Severe covid
434	XG1	0.0	Severe covid
435	XG1	0.0	Severe covid
436	XG1	1.175	Severe covid
437	XG1	1.094	Severe covid
438	XG1	0.905	Severe covid
439	XG1	0.0	Severe covid
440	XG1	0.0	Severe covid
441	XG1	1.14	Severe covid
442	XG1	0.783	Severe covid
443	XG1	0.873	Severe covid
444	XG1	0.406	Severe covid
445	XG1	0.941	Severe covid
446	XG1	0.762	Severe covid
447	XG1	1.03	Severe covid
448	XG1	0.792	Severe covid
449	XG1	1.08	Severe covid
450	XG1	0.768	Severe covid
451	XG1	1.1	Severe covid
452	XG1	0.764	Severe covid
453	XG1	1.143	Severe covid
454	XG1	0.856	Severe covid
455	XG1	1.026	Severe covid
456	XG1	1.17	Severe covid
457	XG1	1.083	Severe covid
458	XG1	1.093	Severe covid
459	XG1	0.927	Severe covid
460	XG1	1.171	Severe covid
461	XG1	0.77	Severe covid
462	XG1	0.827	Severe covid
463	XG1	0.827	Severe covid
464	XG1	0.761	Severe covid
465	XG1	1.143	Severe covid
466	XG1	0.792	Severe covid
467	XG1	0.772	Severe covid
468	XG1	0.944	Severe covid
469	XG1	0.742	Severe covid
470	XG1	1.243	Severe covid
471	XG1	1.2	Severe covid
472	XG1	1.229	Severe covid
473	XG1	1.473	Severe covid
474	XG1	1.011	Severe covid
475	XG1	1.185	Severe covid
476	XG1	0.943	Severe covid
477	XG1	0.779	Severe covid
478	XG1	1.261	Severe covid
479	XG1	1.509	Severe covid
480	XG1	0.926	Severe covid
481	XG1	1.062	Severe covid
482	XG1	1.015	Severe covid
483	XG1	0.731	Severe covid
484	XG1	0.84	Severe covid
485	XG1	0.889	Severe covid
486	XG1	0.883	Severe covid
487	XG1	0.693	Severe covid
488	XG1	0.635	Severe covid
489	XG1	0.459	Severe covid
490	XG1	0.897	Severe covid
491	XG1	0.611	Severe covid
